sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Twenty Years at Hull House; with Autobiographical Notes This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.061,0.095,0.844,negative,Twenty Years at Hull House; with Autobiographical Notes
by Jane Addams.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"New York: The MacMillan Company, 1912 (c.1910) pp.",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
vii-ix.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"[Editor: Mary Mark Ockerbloom] PREFACE Every preface is, I imagine, written after the book has been completed and now that I have finished this volume I will state several difficulties which may put the reader upon his guard unless he too postpones the preface to the very last.",-0.5106,0.0,0.091,0.909,negative,Twenty Years at Hull House; with Autobiographical Notes
"Many times during the writing of these reminiscences, I have become convinced that the task was undertaken all too soon.",0.4019,0.13,0.0,0.87,positive,Twenty Years at Hull House; with Autobiographical Notes
"One's fiftieth year is indeed an impressive milestone at which one may well pause to take an accounting, but the people with whom I have so long journeyed have become so intimate a part of my lot that they cannot be written of either in praise or blame; the public movements and causes with which I am still identified have become so endeared, some of them through their very struggles and failures, that it is difficult to discuss them.",-0.7805,0.093,0.157,0.75,negative,Twenty Years at Hull House; with Autobiographical Notes
"It has also been hard to determine what incidents and experiences should be selected for recital, and I have found that I might give an accurate report of each isolated event and yet give a totally misleading impression of the whole, solely by the selection of the incidents.",-0.5446,0.044,0.134,0.822,negative,Twenty Years at Hull House; with Autobiographical Notes
"For these reasons and many others I have found it difficult to make a [Page viii] faithful record of the years since the autumn of 1889 when without any preconceived social theories or economic views, I came to live in an industrial district of Chicago.",0.1027,0.064,0.055,0.881,positive,Twenty Years at Hull House; with Autobiographical Notes
"If the reader should inquire why the book was ever undertaken in the face of so many difficulties, in reply I could instance two purposes, only one of which in the language of organized charity, is ""worthy.""",0.0828,0.071,0.063,0.866,positive,Twenty Years at Hull House; with Autobiographical Notes
"Because Settlements have multiplied so easily in the United States I hoped that a simple statement of an earlier effort, including the stress and storm, might be of value in their interpretation and possibly clear them of a certain charge of superficiality.",0.896,0.31,0.056,0.635,positive,Twenty Years at Hull House; with Autobiographical Notes
"The unworthy motive was a desire to start a ""backfire,"" as it were, to extinquish two biographies of myself, one of which had been submitted to me in outline, that made life in a Settlement all too smooth and charming.",0.5423,0.149,0.069,0.782,positive,Twenty Years at Hull House; with Autobiographical Notes
The earlier chapters present influences and personal motives with a detail which will be quite unpardonable if they fail to make clear the personality upon whom various social and industrial movements in Chicago reacted during a period of twenty years.,-0.2263,0.062,0.083,0.855,negative,Twenty Years at Hull House; with Autobiographical Notes
"No effort is made in the recital to separate my own history from that of Hull-House during the years in which I was ""launched deep into the stormy intercourse of human life"" for, so far as a mind is pliant under the pressure of events and experiences, it becomes hard to detach it.",-0.5106,0.028,0.107,0.866,negative,Twenty Years at Hull House; with Autobiographical Notes
"It has unfortunately been necessary to abandon [Page ix] the chronological order in favor of the topical, for during the early years at Hull-House, time seemed to afford a mere framework for certain lines of activity and I have found in writing this book, that after these activities have been recorded, I can scarcely recall the scaffolding.",-0.128,0.08,0.088,0.832,negative,Twenty Years at Hull House; with Autobiographical Notes
"More than a third of the material in the book has appeared in The American Magazine, one chapter of it in McClure's Magazine, and earlier statements of the Settlement motive, published years ago, have been utilized in chronological order because it seemed impossible to reproduce their enthusiasm.",0.4404,0.061,0.0,0.939,positive,Twenty Years at Hull House; with Autobiographical Notes
"It is a matter of gratification to me that the book is illustrated from drawings made by Miss Norah Hamilton of Hull-House, and the cover designed by another resident, Mr. Frank Hazenplug.",0.2732,0.111,0.048,0.841,positive,Twenty Years at Hull House; with Autobiographical Notes
"I am indebted for the making of the index and for many other services to Miss Clara Landsberg, also of Hull-House.",-0.1531,0.0,0.078,0.922,negative,Twenty Years at Hull House; with Autobiographical Notes
"If the conclusions of the whole matter are similar to those I have already published at intervals during the twenty years at Hull-House, I can only make the defense that each of the earlier books was an attempt to set forth a thesis supported by experience, whereas this volume endeavors to trace the experiences through which various conclusions were forced upon me.",-0.0258,0.078,0.048,0.874,neutral,Twenty Years at Hull House; with Autobiographical Notes
"[Editor: Mary Mark Ockerbloom] [A Celebration of Women Writers] ""Chapter I: Earliest Impressions.""",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
by Jane Addams (1860-1935) From: Twenty Years at Hull-House with Autobiographical Notes.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
by Jane Addams.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"New York: The MacMillan Company, 1912 (c.1910) pp.",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
1-22.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"[Editor: Mary Mark Ockerbloom] TWENTY YEARS AT HULL-HOUSE CHAPTER I EARLIEST IMPRESSIONS On the theory that our genuine impulses may be connected with our childish experiences, that one's bent may be tracked back to that ""No-Man's Land"" where character is formless but nevertheless settling into definite lines of future development, I begin this record with some impressions of my childhood.",0.6389,0.109,0.026,0.865,positive,Twenty Years at Hull House; with Autobiographical Notes
"All of these are directly connected with my father, although of course I recall many experiences apart from him.",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"I was one of the younger members of a large family and an eager participant in the village life, but because my father was so distinctly the dominant influence and because it is quite impossible to set forth all of one's early impressions, it has seemed simpler to string these first memories on that single cord.",0.4767,0.073,0.0,0.927,positive,Twenty Years at Hull House; with Autobiographical Notes
"Moreover, it was this cord which not only held fast my supreme affections, but also first drew me into the moral concerns of life, and later afforded a clew there to which I somewhat wistfully clung in the intricacy of its mazes.",0.4678,0.096,0.0,0.904,positive,Twenty Years at Hull House; with Autobiographical Notes
"It must have been from a very early period that I recall ""horrid nights"" when I tossed about in my bed because I had told a lie.",-0.5423,0.0,0.143,0.857,negative,Twenty Years at Hull House; with Autobiographical Notes
"I was held in the grip of a miserable dread of death, a double fear, first, that I myself should die in my sins and go straight to that fiery Hell which was never mentioned at home, but which I had heard all about from other children, and, second, that my father--representing the entire adult world which I had basely deceived--should himself die before I had time to tell him.",-0.9612,0.019,0.297,0.685,negative,Twenty Years at Hull House; with Autobiographical Notes
My only method of obtaining relief was to go downstairs to my father's room and make full confession.,0.4767,0.154,0.0,0.846,positive,Twenty Years at Hull House; with Autobiographical Notes
The high resolve to do this would push me out of bed and carry me down the stairs without a touch of fear.,0.6402,0.207,0.0,0.793,positive,Twenty Years at Hull House; with Autobiographical Notes
"But at the foot of the stairs I would be faced by the awful necessity of passing the front door--which my father, because of his Quaker tendencies, did not lock--and of crossing the wide and black expanse of the living room in order to reach his door.",-0.5927,0.023,0.081,0.895,negative,Twenty Years at Hull House; with Autobiographical Notes
"I would invariably cling to the newel post while I contemplated the perils of the situation, complicated by the fact that the literal first step meant putting my bare foot upon a piece of oilcloth in front of the door, only a few inches wide, but lying straight in my path.",-0.5023,0.045,0.089,0.866,negative,Twenty Years at Hull House; with Autobiographical Notes
"I would finally reach my father's bedside perfectly breathless and having panted out the history of my sin, invariable received the same assurance that if he ""had a little girl who told lies,"" he was very glad that she ""felt too bad to go to sleep afterward.""",0.4391,0.193,0.124,0.683,positive,Twenty Years at Hull House; with Autobiographical Notes
"No absolution was asked for or received, but apparently the sense that the knowledge of my wickedness was shared, or an obscure understanding of the affection which underlay the grave statement, was sufficient, for I always went back to bed as bold as a lion, and slept, if not the sleep of the just, at least that of the comforted.",0.7684,0.197,0.122,0.68,positive,Twenty Years at Hull House; with Autobiographical Notes
"I recall an incident which must have occurred before I was seven years old, for the mill in which my father transacted his business that day was closed in 1867.",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
The mill stood in the neighboring town adjacent to its poorest quarter.,-0.5423,0.0,0.241,0.759,negative,Twenty Years at Hull House; with Autobiographical Notes
"Before then I had always seen the little city of ten thousand people with the admiring eyes of a country child, and it had never occurred to me that all its streets were not as bewilderingly attractive as the one which contained the glittering toyshop and the confectioner.",0.05,0.053,0.049,0.898,positive,Twenty Years at Hull House; with Autobiographical Notes
"On that day I had my first sight of the poverty which implies squalor, and felt the curious distinction between the ruddy poverty of the country and that which even a small city presents in its shabbiest streets.",-0.6486,0.055,0.158,0.788,negative,Twenty Years at Hull House; with Autobiographical Notes
"I remember launching at my father the pertinent inquiry why people lived in such horrid little houses so close together, and that after receiving his explanation I declared with much firmness when I grew up I should, of course, have a large house, but it would not be built among the other large houses, but right in the midst of horrid little houses like those.",-0.6331,0.042,0.105,0.853,negative,Twenty Years at Hull House; with Autobiographical Notes
"That curious sense of responsibility for carrying on the world's affairs which little children often exhibit because ""the old man clogs our earliest years,"" I remember in myself in a very absurd manifestation.",0.3182,0.071,0.0,0.929,positive,Twenty Years at Hull House; with Autobiographical Notes
"I dreamed night after night that every one in the world was dead excepting myself, and that upon me rested the responsibility of making a wagon wheel.",-0.6486,0.0,0.152,0.848,negative,Twenty Years at Hull House; with Autobiographical Notes
"The village street remained as usual, the village blacksmith shop was ""all there,"" even a glowing fire upon the forge and the anvil in its customary place near the door, but no human being was within sight.",-0.5423,0.0,0.117,0.883,negative,Twenty Years at Hull House; with Autobiographical Notes
"They had all gone around the edge of the hill to the village cemetery, and I alone remained alive in the deserted world.",0.1531,0.106,0.081,0.813,positive,Twenty Years at Hull House; with Autobiographical Notes
"I always stood in the same spot in the blacksmith shop, darkly pondering as to how to begin, and never once did I know how, although I fully realized that the affairs of the world could not be resumed until at least one wheel should be made and something started.",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"Every victim of nightmare is, I imagine, overwhelmed by an excessive sense of responsibility and the consciousness of a fearful handicap in the effort to perform what is required; but perhaps never were the odds more heavily against ""a warder of the world"" than in these reiterated dreams of mine, doubtless compounded in equal parts of a childish version of Robinson Crusoe and of the end-of-the-world predictions of the Second Adventists, a few of whom were found in the village.",0.1406,0.084,0.077,0.839,positive,Twenty Years at Hull House; with Autobiographical Notes
"The next morning would often find me, a delicate little girl of six, with the further disability of a curved spine, standing in the doorway of the village blacksmith shop, anxiously watching the burly, red-shirted figure at work.",-0.1779,0.032,0.051,0.916,negative,Twenty Years at Hull House; with Autobiographical Notes
"I would store my mind with such details of the process of making wheels as I could observe, and sometimes I plucked up courage to ask for more.",0.4939,0.118,0.0,0.882,positive,Twenty Years at Hull House; with Autobiographical Notes
"""Do you always have to sizzle the iron in water?""",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"I would ask, thinking how horrid it would be to do.",-0.5423,0.0,0.28,0.72,negative,Twenty Years at Hull House; with Autobiographical Notes
"""Sure!""",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"the good-natured blacksmith would reply, ""that makes the iron hard.""",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"I would sigh heavily and walk away, bearing my responsibility as best I could, and this of course I confided to no one, for there is something too mysterious in the burden of ""the winds that come from the fields of sleep"" to be communicated, although it is at the same time too heavy a burden to be borne alone.",-0.5719,0.081,0.153,0.766,negative,Twenty Years at Hull House; with Autobiographical Notes
My great veneration and pride in my father manifested itself in curious ways.,0.8316,0.468,0.0,0.532,positive,Twenty Years at Hull House; with Autobiographical Notes
"On several Sundays, doubtless occurring in two or three different years, the Union Sunday School of the village was visited by strangers, some of those ""strange people"" who live outside a child's realm, yet constantly thrill it by their close approach.",0.3818,0.102,0.042,0.856,positive,Twenty Years at Hull House; with Autobiographical Notes
"My father taught the large Bible class in the lefthand corner of the church next to the pulpit, and to my eyes at least, was a most imposing figure in his Sunday frock coat, his fine head rising high above all the others.",0.0276,0.041,0.039,0.92,neutral,Twenty Years at Hull House; with Autobiographical Notes
"I imagined that the strangers were filled with admiration for this dignified person, and I prayed with all my heart that the ugly, pigeon-toed little girl, whose crooked back obliged her to walk with her head held very much upon one side, would never be pointed out to these visitors as the daughter of this fine man.",0.6597,0.138,0.052,0.81,positive,Twenty Years at Hull House; with Autobiographical Notes
"In order to lessen the possibility of a connection being made, on these particular Sundays I did not walk beside my father, although this walk was the great event of the week, but attached myself firmly to the side of my Uncle James Addams, in the hope that I should be mistaken for his child, or at least that I should not remain so conspicuously unattached that troublesome questions might identify an Ugly Duckling with her imposing parent.",-0.81,0.073,0.156,0.771,negative,Twenty Years at Hull House; with Autobiographical Notes
"My uncle, who had many children of his own, must have been mildly surprised at this unwonted attention, but he would look down kindly at me, and say, ""So you are going to walk with me to-day?""",0.6956,0.141,0.0,0.859,positive,Twenty Years at Hull House; with Autobiographical Notes
"""Yes, please, Uncle James,"" would be my meek reply.",0.3182,0.223,0.0,0.777,positive,Twenty Years at Hull House; with Autobiographical Notes
"He fortunately never explored my motives, nor do I remember that my father ever did, so that in all probability my machinations have been safe from public knowledge until this hour.",0.4404,0.091,0.0,0.909,positive,Twenty Years at Hull House; with Autobiographical Notes
"It is hard to account for the manifestations of a child's adoring affection, so emotional, so irrational, so tangled with the affairs of the imagination.",0.6183,0.272,0.148,0.58,positive,Twenty Years at Hull House; with Autobiographical Notes
"I simply could not endure the thought that ""strange people"" should know that my handsome father owned this homely little girl.",0.34,0.139,0.078,0.783,positive,Twenty Years at Hull House; with Autobiographical Notes
"But even in my chivalric desire to protect him from his fate, I was not quite easy in the sacrifice of my uncle, although I quieted my scruples with the reflection that the contrast was less marked and that, anyway, his own little girl ""was not so very pretty.""",0.5447,0.128,0.063,0.809,positive,Twenty Years at Hull House; with Autobiographical Notes
"I do not know that I commonly dwelt much upon my personal appearance, save as it thrust itself as an incongruity into my father's life, and in spite of unending evidence to the contrary, there were even black moments when I allowed myself to speculate as to whether he might not share the feeling.",-0.3523,0.056,0.117,0.827,negative,Twenty Years at Hull House; with Autobiographical Notes
"Happily, however, this specter was laid before it had time to grow into a morbid familiar by a very trifling incident.",0.5574,0.167,0.0,0.833,positive,Twenty Years at Hull House; with Autobiographical Notes
One day I met my father coming out of his bank on the main street of the neighboring city which seemed to me a veritable whirlpool of society and commerce.,0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"With a playful touch of exaggeration, he lifted his high and shining silk hat and made me an imposing bow.",0.3612,0.136,0.066,0.798,positive,Twenty Years at Hull House; with Autobiographical Notes
"This distinguished public recognition, this totally unnecessary identification among a mass of ""strange people"" who couldn't possibly know unless he himself made the sign, suddenly filled me with a sense of the absurdity of the entire feeling.",-0.0772,0.041,0.05,0.909,negative,Twenty Years at Hull House; with Autobiographical Notes
"It may not even then have seemed as absurd as it really was, but at least it seemed enough so to collapse or to pass into the limbo of forgotten specters.",-0.7945,0.0,0.196,0.804,negative,Twenty Years at Hull House; with Autobiographical Notes
I made still other almost equally grotesque attempts to express this doglike affection.,0.5267,0.236,0.0,0.764,positive,Twenty Years at Hull House; with Autobiographical Notes
"The house at the end of the village in which I was born, and which was my home until I moved to Hull-House, in my earliest childhood had opposite to it--only across the road and then across a little stretch of greensward--two mills belonging to my father; one flour mill, to which the various grains were brought by the neighboring farmers, and one sawmill, in which the logs of the native timber were sawed into lumber.",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
"The latter offered the great excitement of sitting on a log while it slowly approached the buzzing saw which was cutting it into slabs, and of getting off just in time to escape a sudden and gory death.",0.5574,0.198,0.119,0.683,positive,Twenty Years at Hull House; with Autobiographical Notes
But the flouring mill was much more beloved.,0.7086,0.411,0.0,0.589,positive,Twenty Years at Hull House; with Autobiographical Notes
"It was full of dusky, floury places which we adored, of empty bins in which we might play house; it had a basement, with piles of bran and shorts which were almost as good as sand to play in, whenever the miller let us wet the edges of the pile with water brought in his sprinkling pot from the mill-race.",0.8137,0.155,0.027,0.818,positive,Twenty Years at Hull House; with Autobiographical Notes
"In addition to these fascinations was the association of the mill with my father's activities, for doubtless at that time I centered upon him all that careful imitation which a little girl ordinarily gives to her mother's ways and habits.",0.3612,0.089,0.0,0.911,positive,Twenty Years at Hull House; with Autobiographical Notes
My mother had died when I was a baby and my father's second marriage did not occur until my eighth year.,-0.5574,0.0,0.167,0.833,negative,Twenty Years at Hull House; with Autobiographical Notes
"I had a consuming ambition to posses a miller's thumb, and would sit contentedly for a long time rubbing between my thumb and fingers the ground wheat as it fell from between the millstones, before it was taken up on an endless chain of mysterious little buckets to be bolted into flour.",0.4404,0.058,0.0,0.942,positive,Twenty Years at Hull House; with Autobiographical Notes
"I believe I have never since wanted anything more desperately than I wanted my right thumb to be flattened, as my father's had become, during his earlier years of a miller's life.",-0.4391,0.0,0.097,0.903,negative,Twenty Years at Hull House; with Autobiographical Notes
"Somewhat discouraged by the slow process of structural modification, I also took measures to secure on the backs of my hands the tiny purple and red spots which are always found on the hands of the miller who dresses millstones.",-0.0534,0.057,0.086,0.857,negative,Twenty Years at Hull House; with Autobiographical Notes
"The marks on my father's hands had grown faint, but were quite visible when looked for, and seemed to me so desirable that they must be procured at all costs.",0.6107,0.121,0.0,0.879,positive,Twenty Years at Hull House; with Autobiographical Notes
"Even when playing in our house or yard, I could always tell when the millstones were being dressed, because the rumbling of the mill then stopped, and there were few pleasures I would not instantly forego, rushing at once to the mill, that I might spread out my hands near the mill-stones in the hope that the little hard flints flying form the miller's chisel would light upon their backs and make the longed-for marks.",0.659,0.098,0.054,0.848,positive,Twenty Years at Hull House; with Autobiographical Notes
"I used hotly to accuse the German miller, my dear friend Ferdinand, ""of trying not to hit my hands,"" but he scornfully replied that he could not hit them if he did try, and that they were too little to be of use in a mill anyway.",0.3612,0.082,0.03,0.888,positive,Twenty Years at Hull House; with Autobiographical Notes
"Although I hated his teasing, I never had the courage to confess my real purpose.",-0.798,0.0,0.448,0.552,negative,Twenty Years at Hull House; with Autobiographical Notes
"This sincere tribute of imitation, which affection offers to its adored object, had later, I hope, subtler manifestations, but certainly these first ones were altogether genuine.",0.8402,0.355,0.0,0.645,positive,Twenty Years at Hull House; with Autobiographical Notes
"In this case, too, I doubtless contributed my share to that stream of admiration which our generation so generously poured forth for the self-made man.",0.8811,0.359,0.0,0.641,positive,Twenty Years at Hull House; with Autobiographical Notes
I was consumed by a wistful desire to apprehend the hardships of my father's earlier life in that faraway time when he had been a miller's apprentice.,0.4019,0.105,0.0,0.895,positive,Twenty Years at Hull House; with Autobiographical Notes
"I knew that he still woke up punctually at three o'clock because for so many years he had taken his turn at the mill in the early morning, and if by chance I awoke at the same hour, as curiously enough I often did, I imagined him in the early dawn in my uncle's old mill reading through the entire village library, book after book, beginning with the lives of the signers of the Declaration of Independence.",0.25,0.027,0.0,0.973,positive,Twenty Years at Hull House; with Autobiographical Notes
"Copies of the same books, mostly bound in calfskin, were to be found in the library below, and I courageously resolved that I too would read them all and try to understand life as he did.",0.6124,0.135,0.0,0.865,positive,Twenty Years at Hull House; with Autobiographical Notes
"I did in fact later begin a course of reading in the early morning hours, but I was caught by some fantastic notion of chronological order and early legendary form.",0.7096,0.159,0.0,0.841,positive,Twenty Years at Hull House; with Autobiographical Notes
"Pope's translation of the ""Iliad,"" even followed by Dryden's ""Virgil,"" did not leave behind the residuum of wisdom for which I longed, and I finally gave them up for a thick book entitled ""The History of the World"" as affording a shorter and an easier path.",0.815,0.199,0.0,0.801,positive,Twenty Years at Hull House; with Autobiographical Notes
"Although I constantly confided my sins and perplexities to my father, there are only a few occasions on which I remember having received direct advice or admonition; it may easily be true, however, that I have forgotten the latter, in the manner of many seekers after advice who enjoyably set forth their situation but do not really listen to the advice itself.",0.2617,0.089,0.056,0.856,positive,Twenty Years at Hull House; with Autobiographical Notes
"I can remember an admonition on one occasion, however, when, as a little girl of eight years, arrayed in a new cloak, gorgeous beyond anything I had ever worn before, I stood before my father for his approval.",0.7096,0.181,0.056,0.763,positive,Twenty Years at Hull House; with Autobiographical Notes
"I was much chagrined by his remark that it was a very pretty cloak--in fact so much prettier than any cloak the other little girls in the Sunday School had, that he would advise me to wear my old cloak, which would keep me quite as warm, with the added advantage of not making the other little girls feel badly.",0.7016,0.162,0.077,0.762,positive,Twenty Years at Hull House; with Autobiographical Notes
"I complied with the request but I fear without inner consent, and I certainly was quite without the joy of self-sacrifice as I walked soberly through the village street by the side of my counselor.",-0.8272,0.076,0.264,0.66,negative,Twenty Years at Hull House; with Autobiographical Notes
"My mind was busy, however, with the old question eternally suggested by the inequalities of the human lot.",0.0,0.0,0.0,1.0,neutral,Twenty Years at Hull House; with Autobiographical Notes
