sentence,compound,positive,negative,neutral,label,title
"Read also by Dewey the articles in the Philosophical Review, vol.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"xv, pp.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"113 and 465, in Mind, vol.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"xv, p. 293, and in the Journal of Philosophy, vol.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"iv, p. 197.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"Probably the best statements to begin with however, are F. C. S. Schiller's in his 'Studies in Humanism,' especially the essays numbered i, v, vi, vii, xviii and xix.",0.6369,0.13,0.0,0.87,positive,Pragmatism: A New Name for Some Old Ways of Thinking
His previous essays and in general the polemic literature of the subject are fully referred to in his footnotes.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"Furthermore, see G. Milhaud: le Rationnel, 1898, and the fine articles by Le Roy in the Revue de Metaphysique, vols.",0.2023,0.087,0.0,0.913,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"7, 8 and 9.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"Also articles by Blondel and de Sailly in the Annales de Philosophie Chretienne, 4me Serie, vols.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
2 and 3.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"Papini announces a book on Pragmatism, in the French language, to be published very soon.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"To avoid one misunderstanding at least, let me say that there is no logical connexion between pragmatism, as I understand it, and a doctrine which I have recently set forth as 'radical empiricism.'",-0.7351,0.0,0.211,0.789,negative,Pragmatism: A New Name for Some Old Ways of Thinking
The latter stands on its own feet.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
One may entirely reject it and still be a pragmatist.,-0.4576,0.0,0.272,0.728,negative,Pragmatism: A New Name for Some Old Ways of Thinking
"Harvard University, April, 1907.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
CONTENTS Preface EXPANDED CONTENTS PRAGMATISM Lecture I.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
-- The Present Dilemma in Philosophy Lecture II.,-0.1779,0.0,0.195,0.805,negative,Pragmatism: A New Name for Some Old Ways of Thinking
-- What Pragmatism Means Lecture III.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
-- Some Metaphysical Problems Pragmatically Considered Lecture IV.,-0.4019,0.0,0.278,0.722,negative,Pragmatism: A New Name for Some Old Ways of Thinking
-- The One and the Many Lecture V. -- Pragmatism and Common Sense Lecture VI.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
-- Pragmatism's Conception of Truth Lecture VII.,0.3182,0.277,0.0,0.723,positive,Pragmatism: A New Name for Some Old Ways of Thinking
-- Pragmatism and Humanism Lecture VIII.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
-- Pragmatism and Religion CONTENTS Lecture I The Present Dilemma in Philosophy Chesterton quoted.,-0.1779,0.0,0.124,0.876,negative,Pragmatism: A New Name for Some Old Ways of Thinking
Everyone has a philosophy.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Temperament is a factor in all philosophizing.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Rationalists and empiricists.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
The tender-minded and the tough-minded.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Most men wish both facts and religion.,0.4549,0.332,0.0,0.668,positive,Pragmatism: A New Name for Some Old Ways of Thinking
Empiricism gives facts without religion.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Rationalism gives religion without facts.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
The layman's dilemma.,-0.1779,0.0,0.459,0.541,negative,Pragmatism: A New Name for Some Old Ways of Thinking
The unreality in rationalistic systems.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"Leibnitz on the damned, as an example.",-0.3818,0.0,0.302,0.698,negative,Pragmatism: A New Name for Some Old Ways of Thinking
M. I.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Swift on the optimism of idealists.,0.7184,0.7,0.0,0.3,positive,Pragmatism: A New Name for Some Old Ways of Thinking
Pragmatism as a mediating system.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
An objection.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"Reply: philosophies have characters like men, and are liable to as summary judgments.",0.3612,0.172,0.0,0.828,positive,Pragmatism: A New Name for Some Old Ways of Thinking
Spencer as an example.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Lecture II What Pragmatism Means The squirrel.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Pragmatism as a method.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
History of the method.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Its character and affinities.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
How it contrasts with rationalism and intellectualism.,0.4939,0.348,0.0,0.652,positive,Pragmatism: A New Name for Some Old Ways of Thinking
A 'corridor theory.',0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"Pragmatism as a theory of truth, equivalent to 'humanism.'",0.3182,0.247,0.0,0.753,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"Earlier views of mathematical, logical, and natural truth.",0.5859,0.444,0.0,0.556,positive,Pragmatism: A New Name for Some Old Ways of Thinking
More recent views.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Schiller's and Dewey's 'instrumental' view.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
The formation of new beliefs.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Older truth always has to be kept account of.,0.3182,0.223,0.0,0.777,positive,Pragmatism: A New Name for Some Old Ways of Thinking
Older truth arose similarly.,0.3182,0.434,0.0,0.566,positive,Pragmatism: A New Name for Some Old Ways of Thinking
The 'humanistic' doctrine.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Rationalistic criticisms of it.,-0.2263,0.0,0.388,0.612,negative,Pragmatism: A New Name for Some Old Ways of Thinking
Pragmatism as mediator between empiricism and religion.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Barrenness of transcendental idealism.,0.4019,0.474,0.0,0.526,positive,Pragmatism: A New Name for Some Old Ways of Thinking
How far the concept of the Absolute must be called true.,0.4215,0.219,0.0,0.781,positive,Pragmatism: A New Name for Some Old Ways of Thinking
The true is the good in the way of belief.,0.6908,0.416,0.0,0.584,positive,Pragmatism: A New Name for Some Old Ways of Thinking
The clash of truths.,0.4215,0.483,0.0,0.517,positive,Pragmatism: A New Name for Some Old Ways of Thinking
Pragmatism unstiffens discussion.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Lecture III Some Metaphysical Problems Pragmatically Considered The problem of substance.,-0.6597,0.0,0.375,0.625,negative,Pragmatism: A New Name for Some Old Ways of Thinking
The Eucharist.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Berkeley's pragmatic treatment of material substance.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Locke's of personal identity.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
The problem of materialism.,-0.4019,0.0,0.474,0.526,negative,Pragmatism: A New Name for Some Old Ways of Thinking
Rationalistic treatment of it.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Pragmatic treatment.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"'God' is no better than 'Matter' as a principle, unless he promise more.",0.4588,0.317,0.134,0.549,positive,Pragmatism: A New Name for Some Old Ways of Thinking
Pragmatic comparison of the two principles.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
The problem of design.,-0.4019,0.0,0.474,0.526,negative,Pragmatism: A New Name for Some Old Ways of Thinking
'Design' per se is barren.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
The question is WHAT design.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
The problem of 'free-will.',-0.4019,0.0,0.474,0.526,negative,Pragmatism: A New Name for Some Old Ways of Thinking
Its relations to 'accountability.',0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Free-will a cosmological theory.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
The pragmatic issue at stake in all these problems is what do the alternatives PROMISE.,0.0857,0.162,0.144,0.694,positive,Pragmatism: A New Name for Some Old Ways of Thinking
Lecture IV The One and the Many Total reflection.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"Philosophy seeks not only unity, but totality.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Rationalistic feeling about unity.,0.128,0.333,0.0,0.667,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"Pragmatically considered, the world is one in many ways.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
One time and space.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
One subject of discourse.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Its parts interact.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Its oneness and manyness are co-ordinate.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Question of one origin.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Generic oneness.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
One purpose.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
One story.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
One knower.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Value of pragmatic method.,0.34,0.444,0.0,0.556,positive,Pragmatism: A New Name for Some Old Ways of Thinking
Absolute monism.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Vivekananda.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Various types of union discussed.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Conclusion: We must oppose monistic dogmatism and follow empirical findings.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Lecture V Pragmatism and Common Sense Noetic pluralism.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
How our knowledge grows.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Earlier ways of thinking remain.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Prehistoric ancestors DISCOVERED the common sense concepts.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
List of them.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
They came gradually into use.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Space and time.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
'Things.',0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Kinds.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
'Cause' and 'law.',0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"Common sense one stage in mental evolution, due to geniuses.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"The 'critical' stages: 1) scientific and 2) philosophic, compared with common sense.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Impossible to say which is the more 'true.',0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Lecture VI Pragmatism's Conception of Truth The polemic situation.,0.3182,0.223,0.0,0.777,positive,Pragmatism: A New Name for Some Old Ways of Thinking
What does agreement with reality mean?,0.4939,0.39,0.0,0.61,positive,Pragmatism: A New Name for Some Old Ways of Thinking
It means verifiability.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Verifiability means ability to guide us prosperously through experience.,0.3182,0.223,0.0,0.777,positive,Pragmatism: A New Name for Some Old Ways of Thinking
Completed verifications seldom needful.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
'Eternal' truths.,0.4215,0.737,0.0,0.263,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"Consistency, with language, with previous truths.",0.4215,0.359,0.0,0.641,positive,Pragmatism: A New Name for Some Old Ways of Thinking
Rationalist objections.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"Truth is a good, like health, wealth, etc.",0.872,0.784,0.0,0.216,positive,Pragmatism: A New Name for Some Old Ways of Thinking
It is expedient thinking.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
The past.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Truth grows.,0.3182,0.697,0.0,0.303,positive,Pragmatism: A New Name for Some Old Ways of Thinking
Rationalist objections.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Reply to them.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Lecture VII Pragmatism and Humanism The notion of THE Truth.,0.3182,0.204,0.0,0.796,positive,Pragmatism: A New Name for Some Old Ways of Thinking
Schiller on 'Humanism.',0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Three sorts of reality of which any new truth must take account.,0.3182,0.173,0.0,0.827,positive,Pragmatism: A New Name for Some Old Ways of Thinking
To 'take account' is ambiguous.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Absolutely independent reality is hard to find.,-0.1027,0.0,0.189,0.811,negative,Pragmatism: A New Name for Some Old Ways of Thinking
The human contribution is ubiquitous and builds out the given.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Essence of pragmatism's contrast with rationalism.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Rationalism affirms a transempirical world.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Motives for this.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Tough-mindedness rejects them.,-0.4939,0.0,0.615,0.385,negative,Pragmatism: A New Name for Some Old Ways of Thinking
A genuine alternative.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Pragmatism mediates.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Lecture VIII Pragmatism and Religion Utility of the Absolute.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Whitman's poem 'To You.',0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Two ways of taking it.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
My friend's letter.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Necessities versus possibilities.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
'Possibility' defined.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Three views of the world's salvation.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Pragmatism is melioristic.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
We may create reality.,0.2732,0.412,0.0,0.588,positive,Pragmatism: A New Name for Some Old Ways of Thinking
Why should anything BE?,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Supposed choice before creation.,0.2732,0.412,0.0,0.588,positive,Pragmatism: A New Name for Some Old Ways of Thinking
The healthy and the morbid reply.,0.4019,0.351,0.0,0.649,positive,Pragmatism: A New Name for Some Old Ways of Thinking
The 'tender' and the 'tough' types of religion.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Pragmatism mediates.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
PRAGMATISM Lecture I.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"-- The Present Dilemma in Philosophy In the preface to that admirable collection of essays of his called 'Heretics,' Mr. Chesterton writes these words: ""There are some people--and I am one of them--who think that the most practical and important thing about a man is still his view of the universe.",0.6077,0.106,0.032,0.862,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"We think that for a landlady considering a lodger, it is important to know his income, but still more important to know his philosophy.",0.3818,0.153,0.0,0.847,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"We think that for a general about to fight an enemy, it is important to know the enemy's numbers, but still more important to know the enemy's philosophy.",-0.1154,0.117,0.132,0.75,negative,Pragmatism: A New Name for Some Old Ways of Thinking
"We think the question is not whether the theory of the cosmos affects matters, but whether, in the long run, anything else affects them.""",0.0129,0.044,0.0,0.956,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
I think with Mr. Chesterton in this matter.,0.0323,0.158,0.0,0.842,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"I know that you, ladies and gentlemen, have a philosophy, each and all of you, and that the most interesting and important thing about you is the way in which it determines the perspective in your several worlds.",0.6195,0.129,0.0,0.871,positive,Pragmatism: A New Name for Some Old Ways of Thinking
You know the same of me.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
And yet I confess to a certain tremor at the audacity of the enterprise which I am about to begin.,0.2732,0.116,0.0,0.884,positive,Pragmatism: A New Name for Some Old Ways of Thinking
For the philosophy which is so important in each of us is not a technical matter; it is our more or less dumb sense of what life honestly and deeply means.,0.255,0.15,0.122,0.728,positive,Pragmatism: A New Name for Some Old Ways of Thinking
It is only partly got from books; it is our individual way of just seeing and feeling the total push and pressure of the cosmos.,-0.1779,0.056,0.082,0.861,negative,Pragmatism: A New Name for Some Old Ways of Thinking
"I have no right to assume that many of you are students of the cosmos in the class-room sense, yet here I stand desirous of interesting you in a philosophy which to no small extent has to be technically treated.",0.1531,0.118,0.104,0.778,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"I wish to fill you with sympathy with a contemporaneous tendency in which I profoundly believe, and yet I have to talk like a professor to you who are not students.",0.7717,0.251,0.0,0.749,positive,Pragmatism: A New Name for Some Old Ways of Thinking
Whatever universe a professor believes in must at any rate be a universe that lends itself to lengthy discourse.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
A universe definable in two sentences is something for which the professorial intellect has no use.,0.25,0.228,0.12,0.652,positive,Pragmatism: A New Name for Some Old Ways of Thinking
No faith in anything of that cheap kind!,0.6476,0.474,0.161,0.365,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"I have heard friends and colleagues try to popularize philosophy in this very hall, but they soon grew dry, and then technical, and the results were only partially encouraging.",0.8074,0.249,0.0,0.751,positive,Pragmatism: A New Name for Some Old Ways of Thinking
So my enterprise is a bold one.,0.3818,0.342,0.0,0.658,positive,Pragmatism: A New Name for Some Old Ways of Thinking
The founder of pragmatism himself recently gave a course of lectures at the Lowell Institute with that very word in its title-flashes of brilliant light relieved against Cimmerian darkness!,0.69,0.199,0.059,0.742,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"None of us, I fancy, understood ALL that he said--yet here I stand, making a very similar venture.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
I risk it because the very lectures I speak of DREW--they brought good audiences.,0.2023,0.193,0.14,0.667,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"There is, it must be confessed, a curious fascination in hearing deep things talked about, even tho neither we nor the disputants understand them.",0.6705,0.208,0.0,0.792,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"We get the problematic thrill, we feel the presence of the vastness.",-0.1027,0.162,0.188,0.649,negative,Pragmatism: A New Name for Some Old Ways of Thinking
"Let a controversy begin in a smoking-room anywhere, about free-will or God's omniscience, or good and evil, and see how everyone in the place pricks up his ears.",-0.5267,0.09,0.196,0.714,negative,Pragmatism: A New Name for Some Old Ways of Thinking
"Philosophy's results concern us all most vitally, and philosophy's queerest arguments tickle agreeably our sense of subtlety and ingenuity.",0.3167,0.211,0.114,0.675,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"Believing in philosophy myself devoutly, and believing also that a kind of new dawn is breaking upon us philosophers, I feel impelled, per fas aut nefas, to try to impart to you some news of the situation.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
Philosophy is at once the most sublime and the most trivial of human pursuits.,-0.101,0.0,0.097,0.903,negative,Pragmatism: A New Name for Some Old Ways of Thinking
It works in the minutest crannies and it opens out the widest vistas.,0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"It 'bakes no bread,' as has been said, but it can inspire our souls with courage; and repugnant as its manners, its doubting and challenging, its quibbling and dialectics, often are to common people, no one of us can get along without the far-flashing beams of light it sends over the world's perspectives.",0.6956,0.171,0.114,0.715,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"These illuminations at least, and the contrast-effects of darkness and mystery that accompany them, give to what it says an interest that is much more than professional.",0.25,0.1,0.067,0.833,positive,Pragmatism: A New Name for Some Old Ways of Thinking
The history of philosophy is to a great extent that of a certain clash of human temperaments.,0.7351,0.323,0.0,0.677,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"Undignified as such a treatment may seem to some of my colleagues, I shall have to take account of this clash and explain a good many of the divergencies of philosophers by it.",0.4404,0.091,0.0,0.909,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"Of whatever temperament a professional philosopher is, he tries when philosophizing to sink the fact of his temperament.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"Temperament is no conventionally recognized reason, so he urges impersonal reasons only for his conclusions.",-0.5809,0.0,0.268,0.732,negative,Pragmatism: A New Name for Some Old Ways of Thinking
Yet his temperament really gives him a stronger bias than any of his more strictly objective premises.,0.3535,0.157,0.077,0.767,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"It loads the evidence for him one way or the other, making for a more sentimental or a more hard-hearted view of the universe, just as this fact or that principle would.",0.3804,0.082,0.0,0.918,positive,Pragmatism: A New Name for Some Old Ways of Thinking
He trusts his temperament.,0.4767,0.508,0.0,0.492,positive,Pragmatism: A New Name for Some Old Ways of Thinking
"Wanting a universe that suits it, he believes in any representation of the universe that does suit it.",0.0,0.0,0.0,1.0,neutral,Pragmatism: A New Name for Some Old Ways of Thinking
"He feels men of opposite temper to be out of key with the world's character, and in his heart considers them incompetent and 'not in it,' in the philosophic business, even tho they may far excel him in dialectical ability.",-0.1531,0.112,0.125,0.763,negative,Pragmatism: A New Name for Some Old Ways of Thinking
"Yet in the forum he can make no claim, on the bare ground of his temperament, to superior discernment or authority.",0.3818,0.192,0.088,0.72,positive,Pragmatism: A New Name for Some Old Ways of Thinking
