Sentence_ID,Genre,Title,Sentence,VADER_Compound,Rater_1,Rater_2,Rater_3
44,Gothic/Horror,Carmilla,"I remember the nursery maid petting me, and all three examining my chest, where I told them I felt the puncture, and pronouncing that there was no sign visible that any such thing had happened to me.",-0.296,,,
45,Gothic/Horror,Carmilla,"""General Spielsdorf cannot come to us so soon as I had hoped,"" said my father, as we pursued our walk.",0.0,,,
46,Gothic/Horror,Carmilla,Before then I had no idea of her danger.,-0.6808,,,
47,Gothic/Horror,Carmilla,We heard their voices gabbling in animated dialogue as we approached.,0.0,,,
48,Gothic/Horror,Carmilla,But I feel as if some great misfortune were hanging over us.,0.7684,,,
49,Gothic/Horror,Carmilla,"She was what is called a fine looking woman for her time of life, and must have been handsome; she was tall, but not thin, and dressed in black velvet, and looked rather pale, but with a proud and commanding countenance, though now agitated strangely.",-0.0387,,,
50,Gothic/Horror,Carmilla,"There was something in this lady's air and appearance so distinguished and even imposing, and in her manner so engaging, as to impress one, quite apart from the dignity of her equipage, with a conviction that she was a person of consequence.",0.8083,,,
51,Gothic/Horror,Carmilla,"The walls are covered with tapestry, and surrounded with great gold frames, the figures being as large as life, in ancient and very curious costume, and the subjects represented are hunting, hawking, and generally festive.",0.8655,,,
52,Gothic/Horror,Carmilla,"This made us all the more inquisitive as to what had passed between him and the lady in the black velvet, in the brief but earnest interview that had immediately preceded her departure.",0.7137,,,
53,Gothic/Horror,Carmilla,Our visitor lay in one of the handsomest rooms in the schloss.,0.5574,,,
54,Gothic/Horror,Carmilla,"I was a child, about six years old, and I awoke from a confused and troubled dream, and found myself in a room, unlike my nursery, wainscoted clumsily in some dark wood, and with cupboards and bedsteads, and chairs, and benches placed about it.",-0.5106,,,
55,Gothic/Horror,Carmilla,It has become a habit--and you look so kind I know you will forgive me.,0.7555,,,
56,Gothic/Horror,Carmilla,"It was exquisitely fine and soft, and in color a rich very dark brown, with something of gold.",0.6597,,,
57,Gothic/Horror,Carmilla,"Once or twice, indeed, I did attack her more directly.",-0.4767,,,
58,Gothic/Horror,Carmilla,"It was like the ardor of a lover; it embarrassed me; it was hateful and yet over-powering; and with gloating eyes she drew me to her, and her hot lips traveled along my cheek in kisses; and she would whisper, almost in sobs, ""You are mine, you shall be mine, you and I are one for ever.""",0.1725,,,
59,Gothic/Horror,Carmilla,I gathered from these chance hints that her native country was much more remote than I had at first fancied.,0.25,,,
60,Gothic/Horror,Carmilla,"""The swineherd's young wife died only a week ago, and she thought something seized her by the throat as she lay in her bed, and ne",-0.5574,,,
61,Gothic/Horror,The Picture of Dorian Gray,"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,,,
62,Gothic/Horror,The Picture of Dorian Gray,We can forgive a man for making a useful thing as long as he does not admire it.,0.3498,,,
63,Gothic/Horror,The Picture of Dorian Gray,"Intellect is in itself a mode of exaggeration, and destroys the harmony of any face.",0.2732,,,
64,Gothic/Horror,The Picture of Dorian Gray,"If I did, I would lose all my pleasure.",0.25,,,
65,Gothic/Horror,The Picture of Dorian Gray,"""I will tell you,"" said Hallward; but an expression of perplexity came over his face.",0.0,,,
66,Gothic/Horror,The Picture of Dorian Gray,It was not conscience that made me do so: it was a sort of cowardice.,0.0,,,
67,Gothic/Horror,The Picture of Dorian Gray,"""Oh, something like, 'Charming boy--poor dear mother and I absolutely inseparable.",0.836,,,
68,Gothic/Horror,The Picture of Dorian Gray,"Now, the value of an idea has nothing whatsoever to do with the sincerity of the man who expresses it.",0.34,,,
69,Gothic/Horror,The Picture of Dorian Gray,"You remember that landscape of mine, for which Agnew offered me such a huge price but which I would not part with?",0.1655,,,
70,Gothic/Horror,The Picture of Dorian Gray,"As a rule, he is charming to me, and we sit in the studio and talk of a thousand things.",0.5859,,,
71,Gothic/Horror,The Picture of Dorian Gray,He pictured to himself with silent amusement the tedious luncheon that he had missed by staying so long with Basil Hallward.,0.0772,,,
72,Gothic/Horror,The Picture of Dorian Gray,"said Lord Henry, smiling, and taking Hallward by the arm, he almost led him into the house.",0.4588,,,
73,Gothic/Horror,The Picture of Dorian Gray,"""You are too charming to go in for philanthropy, Mr. Gray--far too charming.""",0.5859,,,
74,Gothic/Horror,The Picture of Dorian Gray,"And now, Dorian, get up on the platform, and don't move about too much, or pay any attention to what Lord Henry says.",-0.1027,,,
75,Gothic/Horror,The Picture of Dorian Gray,"You, Mr. Gray, you yourself, with your rose-red youth and your rose-white boyhood, you have had passions that have made you afraid, thoughts that have filled you with terror, day-dreams and sleeping dreams whose mere memory might stain your cheek with shame--"" ""Stop!""",0.4199,,,
76,Gothic/Horror,The Picture of Dorian Gray,"""He has certainly not been paying me compliments.",0.6249,,,
77,Gothic/Horror,The Picture of Dorian Gray,"He had known Basil Hallward for months, but the friendship between them had never altered him.",0.5927,,,
78,Gothic/Horror,The Picture of Dorian Gray,"Time is jealous of you, and wars against your lilies and your roses.",-0.765,,,
79,Gothic/Horror,The Picture of Dorian Gray,"The light is quite perfect, and you can bring your drinks.""",0.6115,,,
80,Gothic/Horror,The Picture of Dorian Gray,"He stood there motionless and in wonder, dimly conscious that Hallward was speaking to him, but not",0.0,,,
81,Gothic/Horror,The Yellow Wallpaper,"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,,,
82,Gothic/Horror,The Yellow Wallpaper,"I never saw such a garden--large and shady, full of box-bordered paths, and lined with long grape-covered arbors with seats under them.",0.0,,,
83,Gothic/Horror,The Yellow Wallpaper,"It is stripped off--the paper--in great patches all around the head of my bed, about as far as I can reach, and in a great place on the other side of the room low down.",0.802,,,
84,Gothic/Horror,The Yellow Wallpaper,"And yet I cannot be with him, it makes me so nervous.",-0.4101,,,
85,Gothic/Horror,The Yellow Wallpaper,It is so discouraging not to have any advice and companionship about my work.,-0.5777,,,
86,Gothic/Horror,The Yellow Wallpaper,I must not let her find me writing.,0.0,,,
87,Gothic/Horror,The Yellow Wallpaper,"John is kept in town very often by serious cases, and Jennie is good and lets me alone when I want her to.",0.1621,,,
88,Gothic/Horror,The Yellow Wallpaper,"John says I mustn't lose my strength, and has me take cod-liver oil and lots of tonics and things, to say nothing of ale and wine and rare meat.",-0.0951,,,
89,Gothic/Horror,The Yellow Wallpaper,I wonder--I begin to think--I wish John would take me away from here!,0.4574,,,
90,Gothic/Horror,The Yellow Wallpaper,"""Better in body perhaps""--I began, and stopped short, for he sat up straight and looked at me with such a stern, reproachful look that I could not say another word.",0.4404,,,
91,Gothic/Horror,The Yellow Wallpaper,"I didn't realize for a long time what the thing was that showed behind,--that dim sub-pattern,--but now I am quite sure it is a woman.",0.3804,,,
92,Gothic/Horror,The Yellow Wallpaper,"He laughed a little the other day, and said I seemed to be flourishing in spite of my wallpaper.",-0.1027,,,
93,Gothic/Horror,The Yellow Wallpaper,I thought seriously of burning the house--to reach the smell.,-0.1531,,,
94,Gothic/Horror,The Yellow Wallpaper,"I see her on that long road under the trees, creeping along, and when a carriage comes she hides under the blackberry vines.",-0.1779,,,
95,Gothic/Horror,The Yellow Wallpaper,She said I slept a good deal in the daytime.,0.4404,,,
96,Gothic/Horror,The Yellow Wallpaper,She tried to get me out of the room--it was too patent!,0.0,,,
97,Gothic/Horror,The Yellow Wallpaper,I wonder if they all come out of that wallpaper as I did?,0.0,,,
98,Gothic/Horror,The Yellow Wallpaper,can copy and distribute it in the United States without permission and without paying copyright royalties.,0.4215,,,
99,Gothic/Horror,The Yellow Wallpaper,The person or entity that provided you with the defective work may elect to provide a replacement copy in lieu of a refund.,-0.4404,,,
100,Gothic/Horror,The Yellow Wallpaper,Most people start at our website which ha,0.34,,,
101,Adventure,The call of the wild,"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,,,
102,Adventure,The call of the wild,But he had saved himself by not becoming a mere pampered house-dog.,0.5719,,,
103,Adventure,The call of the wild,"The next he knew, he was dimly aware that his tongue was hurting and that he was being jolted along in some kind of a conveyance.",-0.4019,,,
104,Adventure,The call of the wild,He could not understand what it all meant.,0.0,,,
105,Adventure,The call of the wild,"That had given them an unfair advantage; but now that it was off, he would show them.",-0.1406,,,
106,Adventure,The call of the wild,"He had never been struck by a club in his life, and did not understand.",0.1877,,,
107,Adventure,The call of the wild,"Be a bad dog, and I'll whale the stuffin' outa you.",-0.5423,,,
108,Adventure,The call of the wild,"Perrault knew dogs, and when he looked at Buck he knew that he was one in a thousand--""One in ten t'ousand,"" he commented mentally.",0.0,,,
109,Adventure,The call of the wild,More of this white stuff was falling through the air.,-0.1531,,,
110,Adventure,The call of the wild,"Curly rushed her antagonist, who struck again and leaped aside.",-0.5994,,,
111,Adventure,The call of the wild,"Spitz was the leader, likewise experienced, and while he could not always get at Buck, he growled sharp reproof now and again, or cunningly threw his weight in the traces to jerk Buck into the way he should go.",-0.34,,,
112,Adventure,The call of the wild,A chill wind was blowing that nipped him sharply and bit with especial venom into his wounded shoulder.,0.0,,,
113,Adventure,The call of the wild,"It was a token that he was harking back through his own life to the lives of his forebears; for he was a civilized dog, an unduly civilized dog, and of his own experience knew no trap and so could not of himself fear it.",-0.2197,,,
114,Adventure,The call of the wild,"They made good time down the chain of lakes which fills the craters of extinct volcanoes, and late that night pulled into the huge camp at the head of Lake Bennett, where thousands of goldseekers were building boats against the break-up of the ice in the spring.",0.6369,,,
115,Adventure,The call of the wild,"It was all well enough in the Southland, under the law of love and fellowship, to respect private property and personal feelings; but in the Northland, under the law of club and fang, whoso took such things into account was a fool, and in so far as he observed them he would fail to prosper.",-0.6597,,,
116,Adventure,The call of the wild,"And when, on the still cold nights, he pointed his nose at a star and howled long and wolflike, it was his ancestors, dead and dust, pointing nose at star and howling down through the centuries and through him.",-0.6486,,,
117,Adventure,The call of the wild,"François was surprised, too, when they shot out in a tangle from the disrupted nest and he divined the cause of the trouble.",0.0,,,
118,Adventure,The call of the wild,"He flung himself upon another, and at the same time felt teeth sink into his own throat.",0.0,,,
119,Adventure,The call of the wild,"Two hours of cursing and exertion got the harnesses into shape, and the wound-stiffened team was under way, struggling painfully over the hardest part of the trail they had yet encountered, and for that matter, the hardest between them and Dawson.",-0.7269,,,
120,Adventure,The call of the wild,Buck's feet were not so compact and hard as the,-0.1689,,,
121,Adventure,White Fang,"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,,,
122,Adventure,White Fang,"But under it all they were men, penetrating the land of desolation and mockery and silence, puny adventurers bent on colossal adventure, pitting themselves against the might of a world as remote and alien and pulseless as the abysses of space.",0.3291,,,
123,Adventure,White Fang,Nor did he speak till he had taken his seat on the coffin and begun to eat.,0.0,,,
124,Adventure,White Fang,"You noticed yourself the row the dogs made.""",0.0,,,
125,Adventure,White Fang,Bill had finished his pipe and was helping his companion to spread the bed of fur and blanket upon the spruce boughs which he had laid over the snow before supper.,0.296,,,
126,Adventure,White Fang,"Daylight was yet three hours away, though it was already six o'clock; and in the darkness Henry went about preparing breakfast, while Bill rolled the blankets and made the sled ready for lashing.",0.128,,,
127,Adventure,White Fang,"But it had four legs an' a mouth an' hair an' looked like any dog.""",0.5023,,,
128,Adventure,White Fang,About the neck of each dog he had fastened a leather thong.,0.0,,,
129,Adventure,White Fang,A log fell apart with a loud spluttering noise.,0.0,,,
130,Adventure,White Fang,"Without haste, with the air of one resigned to misfortune Bill turned his head, and from where he sat counted the dogs.",-0.25,,,
131,Adventure,White Fang,"""You'd better stick by the sled,"" his partner protested.",0.34,,,
132,Adventure,White Fang,"It was large for a wolf, its gaunt frame advertising the lines of an animal that was among the largest of its kind.",0.5267,,,
133,Adventure,White Fang,"I'll bushwhack her as sure as my name is Bill.""",0.3182,,,
134,Adventure,White Fang,"And there, out in the snow of their back track, was the she-wolf waiting for him.",0.0,,,
135,Adventure,White Fang,"Gun in hand, he plunged into the underbrush that lined the side of the trail.",0.2023,,,
136,Adventure,White Fang,"He fed the dogs, cooked and ate his supper, and made his bed close to the fire.",-0.34,,,
137,Adventure,White Fang,"But scarcely had the cheer of its light departed, than he went into camp.",0.6192,,,
138,Adventure,White Fang,He reached hastily for a brand to throw at her.,0.1027,,,
139,Adventure,White Fang,"But this time, before he dozed again, he tied a burning pine-knot to his right hand.",0.6486,,,
140,Adventure,White Fang,"Flinging his brands at the nearest of his enemies, the man thrust his smouldering mitte",-0.4939,,,
141,Adventure,Tarzan of the Apes,"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,,,
142,Adventure,Tarzan of the Apes,"Alice Rutherford for scarce a three months, and it was the thought of taking this fair young girl into the dangers and isolation of tropical Africa that appalled him.",-0.7411,,,
143,Adventure,Tarzan of the Apes,"Closer and closer they came, until one of them was directly behind the captain.",0.0,,,
144,Adventure,Tarzan of the Apes,"They did not see him again for several days, nor did the captain accord them more than the surliest of grunts when he was forced to speak to them.",-0.4588,,,
145,Adventure,Tarzan of the Apes,"The old fellow was polishing brasses, and as he came edging along until close to Clayton he said, in an undertone: ""'Ell's to pay, sir, on this 'ere craft, an' mark my word for it, sir.",-0.1027,,,
146,Adventure,Tarzan of the Apes,"You have no conception, dear, of what would follow were this pack of cutthroats to gain control of the Fuwalda .""",0.5859,,,
147,Adventure,Tarzan of the Apes,"I'm captain of this here ship, and from now on you keep your meddling nose out of my business.""",0.0,,,
148,Adventure,Tarzan of the Apes,"""Those are the very things I most wish they had left us,"" said Clayton, ""and the fact that they wished for them and them alone is most sinister.""",0.3086,,,
149,Adventure,Tarzan of the Apes,"""About all we can do is to sit tight and wait for whatever may come.""",0.0,,,
150,Adventure,Tarzan of the Apes,"Though outwardly calm and indifferent, Clayton was inwardly apprehensive and wrought up, for he feared for his wife's safety at the hands of these ignorant, half-brutes into whose hands fate had so remorselessly thrown them.",-0.7065,,,
151,Adventure,Tarzan of the Apes,"On the fifth day following the murder of the ship's officers, land was sighted by the lookout.",-0.6908,,,
152,Adventure,Tarzan of the Apes,Later in the evening Black Michael joined them long enough to instruct them to make their preparations for landing on the morrow.,0.0,,,
153,Adventure,Tarzan of the Apes,"The man shuddered as he meditated upon the awful gravity, the fearful helplessness, of their situation.",-0.8519,,,
154,Adventure,Tarzan of the Apes,"It were better that nature have her way in relieving these long-pent emotions, and it was many minutes before the girl--little more than a child she was--could again gain mastery of herself.",0.8316,,,
155,Adventure,Tarzan of the Apes,"This platform he paved with the huge fronds of elephant's ear which grew in profusion about them, and over the fronds he laid a great sail folded into several thicknesses.",0.7506,,,
156,Adventure,Tarzan of the Apes,Closer and closer it came until they could hear the great beast directly beneath them.,0.6249,,,
157,Adventure,Tarzan of the Apes,"The stuccoing and other final touches were added after they moved into the house, which they had done as soon as the roof was on, piling their boxes before the door at night and thus having a comparatively safe and comfortable habitation.",0.7351,,,
158,Adventure,Tarzan of the Apes,"But he knew he was facing a horrible death, and so did she.",-0.9022,,,
159,Adventure,Tarzan of the Apes,"For some time after regaining her senses, Alice gazed wonderingly about the interior of the little cabin, and then, with a satisfied sigh, said: ""O, John, it is so good to be really home!",0.7866,,,
160,Adventure,Tarzan of the Apes,"He had strengthened the window protections and fitted a unique wooden lock to the cabin door, so that when he hunted for game and fruits, as it was constantly necessary for him to do to insure sustenance, he had no fear that any anim",-0.3818,,,
161,Adventure,The Lost World,"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,,,
162,Adventure,The Lost World,"So far my thoughts had carried me, and I was about to break the long and uneasy silence, when two critical, dark eyes looked round at me, and the proud head was shaken in smiling reproof.",0.2263,,,
163,Adventure,The Lost World,It was my turn to jump out of my chair.,0.0,,,
164,Adventure,The Lost World,Look at that young Frenchman who went up last week in a balloon.,0.0,,,
165,Adventure,The Lost World,"And now I am glad--so glad--if it wakens these thoughts in you!""",0.0,,,
166,Adventure,The Lost World,"""Dear me, Mr. Malone, this is very--very exalted.",0.3818,,,
167,Adventure,The Lost World,"""I have a few notes for your guidance, Mr. Malone.",0.0,,,
168,Adventure,The Lost World,"But these recriminations, twice mentioned in his skeleton biography, could only mean that he was a fanatic in science.",0.0,,,
169,Adventure,The Lost World,"He had a fearful row about it in Vienna, I believe.""",-0.4939,,,
170,Adventure,The Lost World,"""DEAR PROFESSOR CHALLENGER,"" it said, ""As a humble student of Nature, I have always taken the most profound interest in your speculations as to the differences between Darwin and Weissmann.",0.7657,,,
171,Adventure,The Lost World,"You quote an isolated sentence from my lecture, and appear to have some difficulty in understanding it.",-0.5267,,,
172,Adventure,The Lost World,"I suppose it wasn't about South America you wanted to see him?""",0.0,,,
173,Adventure,The Lost World,He took my letter from his desk and laid it out before him.,0.0,,,
174,Adventure,The Lost World,"""I suppose you are aware,"" said he, checking off points upon his fingers, ""that the cranial index is a constant factor?""",0.0,,,
175,Adventure,The Lost World,"He resumed his unpleasant and stealthy advance, pointing his toes as he walked, like a dancing master.",-0.1779,,,
176,Adventure,The Lost World,"""It's not the first time, either,"" said the policeman, severely, shaking his head.",-0.5719,,,
177,Adventure,The Lost World,He took her down as if she had been a canary.,0.0,,,
178,Adventure,The Lost World,"For this reason I asked you to return with me, as I was minded to make your further acquaintance.",0.0,,,
179,Adventure,The Lost World,"The object of my journey was to verify some conclusions of Wallace and of Bates, which could only be done by observing their reported facts under the same conditions in which they had themselves noted them.",0.0,,,
180,Adventure,The Lost World,"Indeed, I can assure you that a first folio of Shakespeare could not be treated with greater reverenc",0.5994,,,
181,Adventure,Kim,"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,,,
182,Adventure,Kim,"That is how my father said they always did; and it is always so when men work magic.""",0.0,,,
183,Adventure,Kim,"Thy father was a pastry-cook--"" He stopped; for there shuffled round the corner, from the roaring Motee Bazar, such a man as Kim, who thought he knew all castes, had never seen.",-0.2263,,,
184,Adventure,Kim,"From the Hills where""--he sighed--""the air and water are fresh and cool.""",0.3182,,,
185,Adventure,Kim,Two butterfly-winged devas held a wreath over His head; above them another pair supported an umbrella surmounted by the jewelled headdress of the Bodhisat.,0.3182,,,
186,Adventure,Kim,"Here was the devout Asita, the pendant of Simeon in the Christian story, holding the Holy Child on his knee while mother and father listened; and here were incidents in the legend of the cousin Devadatta.",0.0,,,
187,Adventure,Kim,"""Your scholars, by these books, have followed the Blessed Feet in all their wanderings; but there are things which they have not sought out.",0.3506,,,
188,Adventure,Kim,There I shall meet one of the pure faith in a Jain temple of that city.,0.4215,,,
189,Adventure,Kim,"Learned doctors of a lamassery do not beg, but the lama was an enthusiast in this quest.",0.5023,,,
190,Adventure,Kim,"When didst thou steal the milkwoman's slippers, Dunnoo?""",-0.4939,,,
191,Adventure,Kim,"The huge, mouse-coloured Brahmini bull of the ward was shouldering his way through the many-coloured crowd, a stolen plantain hanging out of his mouth.",-0.2263,,,
192,Adventure,Kim,"But Kim had danced off ere the end of the sentence, dodging pariah dogs and hungry acquaintances.",-0.0387,,,
193,Adventure,Kim,"And when I was faint with hunger he begged for me, as would a chela for his teacher.",-0.25,,,
194,Adventure,Kim,"""I will teach thee other and better desires upon the road,"" the lama replied in the voice of authority.",0.4939,,,
195,Adventure,Kim,"He turned his head very slightly at the cry; and seeing only the tall silent figure, chuckled in his deep chest.",-0.1621,,,
196,Adventure,Kim,"""Oh, our tales will agree,"" said Kim, laughing.",0.4939,,,
197,Adventure,Kim,He will then say 'What proof hast thou?',0.0,,,
198,Adventure,Kim,"Therefore Mahbub had avoided halting at the insalubrious city of Peshawur, and had come through without stop to Lahore, where, knowing his country-people, he anticipated curious developments.",0.1994,,,
199,Adventure,Kim,About the same hour Kim heard soft feet in Mahbub's deserted stall.,-0.2023,,,
200,Adventure,Kim,"I abide here, following the Flower and drinking wine as an Afghan coper should.""",0.0,,,
201,Romance,Anne of Green Gables,"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,,,
202,Romance,Anne of Green Gables,"Matthew Cuthbert's father, as shy and silent as his son after him, had got as far away as he possibly could from his fellow men without actually retreating into the woods when he founded his homestead.",-0.25,,,
203,Romance,Anne of Green Gables,"""This is a real fine evening, isn't it?",0.2023,,,
204,Romance,Anne of Green Gables,So Matthew and I have talked it over off and on ever since.,0.0,,,
205,Romance,Anne of Green Gables,This Job's comforting seemed neither to offend nor to alarm Marilla.,0.6832,,,
206,Romance,Anne of Green Gables,"Well, I'm sorry for that poor young one and no mistake.",-0.7096,,,
207,Romance,Anne of Green Gables,"'There was more scope for imagination,' she said.",0.0,,,
208,Romance,Anne of Green Gables,"You could imagine you were dwelling in marble halls, couldn't you?",0.0258,,,
209,Romance,Anne of Green Gables,"With this Matthew's companion stopped talking, partly because she was out of breath and partly because they had reached the buggy.",-0.128,,,
210,Romance,Anne of Green Gables,"She said she hadn't time to get sick, watching to see that I didn't fall overboard.",-0.5106,,,
211,Romance,Anne of Green Gables,"He detested the way they had of sidling past him timidly, with sidewise glances, as if they expected him to gobble them up at a mouthful if they ventured to say a word.",-0.1779,,,
212,Romance,Anne of Green Gables,"""Well now, yes, there's one right below the house.""",0.5859,,,
213,Romance,Anne of Green Gables,But it doesn't make much real difference for it isn't likely I'll ever be either.,0.0,,,
214,Romance,Anne of Green Gables,"""Well now, I just can't recollect that I ever had.""",0.2732,,,
215,Romance,Anne of Green Gables,"There was a little gray house peering around a white apple orchard on a slope beyond and, although it was not yet quite dark, a light was shining from one of its windows.",0.0,,,
216,Romance,Anne of Green Gables,"That water looks as if it was smiling at me.""",0.4588,,,
